Text,Label
ada kecelakaan besar di jalan tol banyak korban terluka,High
orang ini pingsan dan tidak bernapas segera kirim ambulans,High
ada anak kecil tenggelam dia tidak sadar,High
kecelakaan sepeda motor dengan luka parah di kepala,High
seorang pria terjatuh dari gedung tinggi segera kirim bantuan,High
ada kebakaran besar beberapa orang terjebak di dalam rumah,High
orang ini mengalami serangan jantung sangat darurat,High
seseorang tertusuk benda tajam dan mengalami pendarahan hebat,High
saya jatuh dari sepeda dan kaki saya patah,Medium
seseorang mengalami kejangkejang tetapi dia masih bernapas,Medium
ada yang terluka akibat luka bakar ringan,Medium
seorang anak terjatuh dan pergelangan kakinya terlihat bengkak,Medium
orang ini mengalami demam tinggi dengan suhu tubuh 39 derajat,Medium
ada seorang wanita hamil yang mengeluhkan nyeri perut hebat,Medium
seorang pria terkilir saat bermain bola butuh bantuan medis,Medium
seseorang tergigit hewan liar perlu bantuan segera,Medium
saya merasa pusing sejak pagi apa yang harus saya lakukan,Low
ada orang dengan sakit kepala ringan di sini,Low
sepertinya demam suhu tubuhnya 38 derajat,Low
orang ini mengalami batukbatuk sejak kemarin malam,Low
seorang anak mengalami mimisan tapi sudah berhenti sekarang,Low
ada yang mengalami lecet di tangan akibat terjatuh,Low
orang ini merasa mual mungkin karena makan makanan basi,Low
seseorang mengalami kram perut ringan mungkin keracunan makanan,Low
ada kecelakaan mobil dengan beberapa korban tidak sadar,High
orang ini mengalami luka tembak segera kirim bantuan medis,High
ada ledakan di pabrik dan banyak korban yang terluka parah,High
seorang anak jatuh ke dalam sumur perlu bantuan segera,High
kebakaran di apartemen orangorang terjebak di lantai atas,High
korban tabrakan kereta terluka berat segera bawa ambulans,High
orang ini tidak sadar setelah tenggelam di kolam renang,High
seseorang tersambar petir kondisinya sangat kritis,High
seseorang mengalami dislokasi bahu setelah kecelakaan kecil,Medium
ada seorang lansia yang terjatuh dan mengalami nyeri punggung,Medium
orang ini mengeluh sakit dada ringan kemungkinan gejala awal serangan jantung,Medium
seorang anak mengalami luka gores di kaki akibat jatuh dari sepeda,Medium
ada seorang pria yang mengalami luka kecil di tangan karena benda tajam,Medium
orang ini mengeluhkan sesak napas ringan setelah olahraga,Medium
seorang wanita tergelincir di kamar mandi dan mengeluhkan nyeri pinggang,Medium
ada seorang anak yang menggigil dengan suhu tubuh tinggi,Medium
saya merasa lesu sejak pagi mungkin karena kurang tidur,Low
orang ini mengeluhkan mata merah kemungkinan terkena debu,Low
ada yang mengalami pilek ringan setelah terkena hujan kemarin,Low
seorang anak mengalami gatalgatal di kulit setelah bermain di taman,Low
orang ini merasa lemas tapi tidak ada gejala serius lainnya,Low
ada seorang pria yang mengeluh nyeri otot setelah berolahraga berat,Low
seorang wanita merasa tidak nyaman di perut setelah makan pedas,Low
ada seorang anak yang mengeluh sakit gigi sejak tadi malam,Low
seseorang tertimpa pohon tumbang akibat badai kondisinya kritis,High
ada kebakaran di sekolah banyak siswa terluka dan terjebak,High
seorang pria tersengat listrik dan tidak bergerak segera kirim bantuan,High
kecelakaan bus dengan banyak penumpang terluka parah,High
orang ini tidak sadar setelah mengalami overdosis obat,High
sebuah bangunan runtuh ada banyak korban di bawah reruntuhan,High
ada perkelahian dengan senjata tajam korban terluka parah,High
orang ini mengalami stroke mendadak segera kirim ambulans,High
seorang anak mengalami luka memar di kepala setelah jatuh dari tempat tidur,Medium
ada orang yang mengalami cedera lutut saat berlari,Medium
seorang wanita mengeluhkan sakit perut parah kemungkinan usus buntu,Medium
orang ini terluka ringan akibat tabrakan sepeda,Medium
ada seorang pria yang mengalami kram kaki saat berenang,Medium
orang ini terkena gigitan ular kecil tidak berbisa tetapi perlu pemeriksaan,Medium
seorang lansia mengalami pusing berat setelah berdiri terlalu lama,Medium
orang ini mengalami alergi makanan ringan dengan ruam di kulit,Medium
seorang anak merasa kedinginan tapi suhu tubuhnya normal,Low
orang ini merasa pegalpegal setelah bekerja seharian,Low
ada yang mengeluhkan gatal di kulit kepala kemungkinan ketombe,Low
seorang wanita mengalami bibir kering akibat cuaca dingin,Low
orang ini mengeluh sakit ringan di pergelangan tangan setelah mengetik terlalu lama,Low
ada yang merasa haus berlebihan mungkin dehidrasi ringan,Low
seorang anak mengeluhkan sakit di telinga kemungkinan infeksi ringan,Low
orang ini mengeluhkan sulit tidur sejak beberapa hari terakhir,Low
sebuah truk terguling di jalan raya ada beberapa orang yang terjebak di dalamnya,High
orang ini tertimpa atap rumah akibat angin kencang segera kirim bantuan,High
ada laporan penembakan di tempat umum beberapa orang terluka parah,High
seseorang tenggelam di sungai dan tidak menunjukkan tandatanda gerakan,High
korban tabrakan pesawat terluka serius butuh bantuan medis segera,High
seorang pekerja jatuh dari ketinggian di lokasi konstruksi kondisinya kritis,High
orang ini terserang penyakit langka tidak bisa bernapas dengan normal,High
ada kecelakaan kapal dengan banyak korban yang terlempar ke laut,High
orang ini mengeluhkan nyeri di bagian punggung setelah mengangkat beban berat,Medium
seorang anak mengalami demam dan batuk selama tiga hari terakhir,Medium
seseorang mengalami cedera kecil di tangan saat memasak luka terbuka ringan,Medium
ada seorang pria yang mengeluh pandangan kabur setelah membaca terlalu lama,Medium
seorang wanita tergelincir di tangga menyebabkan nyeri di pergelangan kaki,Medium
orang ini tergores duri besar lukanya tidak terlalu dalam tetapi perlu dibersihkan,Medium
seorang pria merasa lelah dan mual setelah berjalan terlalu jauh,Medium
seseorang mengalami luka memar akibat terpeleset di lantai basah,Medium
saya merasa tidak nyaman di perut setelah makan terlalu banyak,Low
