Text,Label
Ada kecelakaan besar di jalan tol banyak korban terluka.,High
Orang ini pingsan dan tidak bernapas segera kirim ambulans!,High
Ada anak kecil tenggelam dia tidak sadar.,High
Kecelakaan sepeda motor dengan luka parah di kepala.,High
Seorang pria terjatuh dari gedung tinggi segera kirim bantuan!,High
Ada kebakaran besar beberapa orang terjebak di dalam rumah.,High
Orang ini mengalami serangan jantung sangat darurat!,High
Seseorang tertusuk benda tajam dan mengalami pendarahan hebat.,High
Saya jatuh dari sepeda dan kaki saya patah.,Medium
Seseorang mengalami kejang-kejang tetapi dia masih bernapas.,Medium
Ada yang terluka akibat luka bakar ringan.,Medium
Seorang anak terjatuh dan pergelangan kakinya terlihat bengkak.,Medium
Orang ini mengalami demam tinggi dengan suhu tubuh 39 derajat.,Medium
Ada seorang wanita hamil yang mengeluhkan nyeri perut hebat.,Medium
Seorang pria terkilir saat bermain bola butuh bantuan medis.,Medium
Seseorang tergigit hewan liar perlu bantuan segera.,Medium
Saya merasa pusing sejak pagi apa yang harus saya lakukan?,Low
Ada orang dengan sakit kepala ringan di sini.,Low
Sepertinya demam suhu tubuhnya 38 derajat.,Low
Orang ini mengalami batuk-batuk sejak kemarin malam.,Low
Seorang anak mengalami mimisan tapi sudah berhenti sekarang.,Low
Ada yang mengalami lecet di tangan akibat terjatuh.,Low
Orang ini merasa mual mungkin karena makan makanan basi.,Low
Seseorang mengalami kram perut ringan mungkin keracunan makanan.,Low
Ada kecelakaan mobil dengan beberapa korban tidak sadar.,High
Orang ini mengalami luka tembak segera kirim bantuan medis!,High
Ada ledakan di pabrik dan banyak korban yang terluka parah.,High
Seorang anak jatuh ke dalam sumur perlu bantuan segera!,High
Kebakaran di apartemen orang-orang terjebak di lantai atas.,High
Korban tabrakan kereta terluka berat segera bawa ambulans.,High
Orang ini tidak sadar setelah tenggelam di kolam renang.,High
Seseorang tersambar petir kondisinya sangat kritis.,High
Seseorang mengalami dislokasi bahu setelah kecelakaan kecil.,Medium
Ada seorang lansia yang terjatuh dan mengalami nyeri punggung.,Medium
Orang ini mengeluh sakit dada ringan kemungkinan gejala awal serangan jantung.,Medium
Seorang anak mengalami luka gores di kaki akibat jatuh dari sepeda.,Medium
Ada seorang pria yang mengalami luka kecil di tangan karena benda tajam.,Medium
Orang ini mengeluhkan sesak napas ringan setelah olahraga.,Medium
Seorang wanita tergelincir di kamar mandi dan mengeluhkan nyeri pinggang.,Medium
Ada seorang anak yang menggigil dengan suhu tubuh tinggi.,Medium
Saya merasa lesu sejak pagi mungkin karena kurang tidur.,Low
Orang ini mengeluhkan mata merah kemungkinan terkena debu.,Low
Ada yang mengalami pilek ringan setelah terkena hujan kemarin.,Low
Seorang anak mengalami gatal-gatal di kulit setelah bermain di taman.,Low
Orang ini merasa lemas tapi tidak ada gejala serius lainnya.,Low
Ada seorang pria yang mengeluh nyeri otot setelah berolahraga berat.,Low
Seorang wanita merasa tidak nyaman di perut setelah makan pedas.,Low
Ada seorang anak yang mengeluh sakit gigi sejak tadi malam.,Low
Seseorang tertimpa pohon tumbang akibat badai kondisinya kritis.,High
Ada kebakaran di sekolah banyak siswa terluka dan terjebak.,High
Seorang pria tersengat listrik dan tidak bergerak segera kirim bantuan.,High
Kecelakaan bus dengan banyak penumpang terluka parah.,High
Orang ini tidak sadar setelah mengalami overdosis obat.,High
Sebuah bangunan runtuh ada banyak korban di bawah reruntuhan.,High
Ada perkelahian dengan senjata tajam korban terluka parah.,High
Orang ini mengalami stroke mendadak segera kirim ambulans!,High
Seorang anak mengalami luka memar di kepala setelah jatuh dari tempat tidur.,Medium
Ada orang yang mengalami cedera lutut saat berlari.,Medium
Seorang wanita mengeluhkan sakit perut parah kemungkinan usus buntu.,Medium
Orang ini terluka ringan akibat tabrakan sepeda.,Medium
Ada seorang pria yang mengalami kram kaki saat berenang.,Medium
Orang ini terkena gigitan ular kecil tidak berbisa tetapi perlu pemeriksaan.,Medium
Seorang lansia mengalami pusing berat setelah berdiri terlalu lama.,Medium
Orang ini mengalami alergi makanan ringan dengan ruam di kulit.,Medium
Seorang anak merasa kedinginan tapi suhu tubuhnya normal.,Low
Orang ini merasa pegal-pegal setelah bekerja seharian.,Low
Ada yang mengeluhkan gatal di kulit kepala kemungkinan ketombe.,Low
Seorang wanita mengalami bibir kering akibat cuaca dingin.,Low
Orang ini mengeluh sakit ringan di pergelangan tangan setelah mengetik terlalu lama.,Low
Ada yang merasa haus berlebihan mungkin dehidrasi ringan.,Low
Seorang anak mengeluhkan sakit di telinga kemungkinan infeksi ringan.,Low
Orang ini mengeluhkan sulit tidur sejak beberapa hari terakhir.,Low
Sebuah truk terguling di jalan raya ada beberapa orang yang terjebak di dalamnya.,High
Orang ini tertimpa atap rumah akibat angin kencang segera kirim bantuan.,High
Ada laporan penembakan di tempat umum beberapa orang terluka parah.,High
Seseorang tenggelam di sungai dan tidak menunjukkan tanda-tanda gerakan.,High
Korban tabrakan pesawat terluka serius butuh bantuan medis segera.,High
Seorang pekerja jatuh dari ketinggian di lokasi konstruksi kondisinya kritis.,High
Orang ini terserang penyakit langka tidak bisa bernapas dengan normal.,High
Ada kecelakaan kapal dengan banyak korban yang terlempar ke laut.,High
Orang ini mengeluhkan nyeri di bagian punggung setelah mengangkat beban berat.,Medium
Seorang anak mengalami demam dan batuk selama tiga hari terakhir.,Medium
Seseorang mengalami cedera kecil di tangan saat memasak luka terbuka ringan.,Medium
Ada seorang pria yang mengeluh pandangan kabur setelah membaca terlalu lama.,Medium
