path,sentence
common_voice_id_23033570.wav,maha suci allah
common_voice_id_20425643.wav,inilah dunia kecil
common_voice_id_22185104.wav,nol
common_voice_id_25649959.wav,dengarkan aku
common_voice_id_27389019.wav,ada seekor kucing
common_voice_id_31406618.wav,sebelah matanya buta
common_voice_id_39703948.wav,ayahku sudah baya
common_voice_id_24142409.wav,aku ingin kamu
common_voice_id_35278976.wav,anda membutuhkannya
common_voice_id_38420123.wav,tom terus makan
common_voice_id_20953397.wav,selamat
common_voice_id_27642028.wav,ini kapalku
common_voice_id_24034328.wav,cek dana masuk
common_voice_id_27707135.wav,boleh minta api
common_voice_id_23932392.wav,iya
common_voice_id_23932394.wav,sembilan
common_voice_id_30399553.wav,aku suka biru
common_voice_id_30399580.wav,buat apa ributribut
common_voice_id_35280421.wav,makasih banyak
common_voice_id_28513844.wav,apa ini milikmu
common_voice_id_22984697.wav,maha suci allah
common_voice_id_22528019.wav,satu
common_voice_id_22528020.wav,tiga
common_voice_id_26277261.wav,aku ingin mati
common_voice_id_34597896.wav,sepatu ini tua
common_voice_id_23920010.wav,dua
common_voice_id_23920012.wav,sembilan
common_voice_id_25141757.wav,aku sakit
common_voice_id_31097551.wav,aku rasa tidak
common_voice_id_27960758.wav,kualitasnya bagus
common_voice_id_24995761.wav,awas lantai licin
common_voice_id_24995762.wav,kurakura adalah reptil
common_voice_id_32790690.wav,eh ada kupukupu
common_voice_id_24015632.wav,dia menendangku
common_voice_id_23564377.wav,pernah ke amerika
common_voice_id_24016277.wav,tasku dicuri
common_voice_id_24015258.wav,kamu tidak pulang
common_voice_id_24015261.wav,beritahu dulu keburukannya
common_voice_id_19376536.wav,jangan tanya aku
common_voice_id_21272933.wav,saya menyukai tantangan
common_voice_id_21553538.wav,aku ingin mati
common_voice_id_24441322.wav,gubuk itu dibakar
common_voice_id_19773607.wav,kiamat sudah dekat
common_voice_id_24015698.wav,kamu tahu tidak
common_voice_id_24142793.wav,enak nggak makanannya
common_voice_id_24015269.wav,cek saldo
common_voice_id_20953161.wav,dia terlihat bahagia
common_voice_id_20589579.wav,tidak tidak pedas
common_voice_id_20589584.wav,senin depan libur
common_voice_id_25414380.wav,keretanya di sini
common_voice_id_27600456.wav,sampai ketemu besok
common_voice_id_22650888.wav,delapan
common_voice_id_22650889.wav,tujuh
common_voice_id_22650891.wav,sembilan
common_voice_id_22650893.wav,tiga
common_voice_id_23784531.wav,dia belum datang
common_voice_id_23784535.wav,apakah ada perbedaan
common_voice_id_25038178.wav,empat kata perbaris
common_voice_id_24585626.wav,bagaimana kalau minuman
common_voice_id_25537988.wav,terima kasih
common_voice_id_24851696.wav,saya harus tidur
common_voice_id_23583178.wav,pernah ke amerika
common_voice_id_23583180.wav,kamu di mana
common_voice_id_35113330.wav,silakan dimakan
common_voice_id_24041237.wav,gubuk itu dibakar
common_voice_id_21425448.wav,dia tidak realistik
common_voice_id_19450102.wav,jane terlihat bahagia
common_voice_id_24016090.wav,pernah ke meksiko
common_voice_id_19635472.wav,saya ingin main
common_voice_id_19480750.wav,alam itu kejam
common_voice_id_24997361.wav,nikmati pekerjaanmu
common_voice_id_24997362.wav,lompatlah setinggi mungkin
common_voice_id_30272788.wav,politik bikin gila
common_voice_id_24963731.wav,ini mengejutkan
common_voice_id_23405685.wav,dari mana kamu
common_voice_id_21683075.wav,seseorang mengetuk pintu
common_voice_id_21683077.wav,duduklah di sana
common_voice_id_24806044.wav,akan saya jelaskan
common_voice_id_21085184.wav,dia tidak muda
common_voice_id_21085188.wav,mereka memborgol tom
common_voice_id_23760470.wav,buku siapa ini
common_voice_id_35076101.wav,dia anak nakal
common_voice_id_23967334.wav,sepertinya sudah dihapus
common_voice_id_23720065.wav,sudah jam tujuh
common_voice_id_23720066.wav,pernah ke inggris
common_voice_id_23720067.wav,apakah ada pertanyaan
common_voice_id_22366431.wav,dua
common_voice_id_22366432.wav,tiga
common_voice_id_22366433.wav,iya
common_voice_id_22366434.wav,enam
common_voice_id_22366435.wav,tujuh
common_voice_id_24023124.wav,pergi sana kau
common_voice_id_24023126.wav,hidup cuma sekali
common_voice_id_24023127.wav,kalau seperti ini
common_voice_id_19675703.wav,abbot membunuh mary
common_voice_id_19675707.wav,siapakah pria itu
common_voice_id_24991416.wav,aku baru kembali
common_voice_id_24991417.wav,oh begitu ya
common_voice_id_27244728.wav,selamat siang
common_voice_id_27244839.wav,aku masih ngantuk
common_voice_id_22794281.wav,aku sakit kepala
common_voice_id_22794282.wav,tom mencuri cincinnya
common_voice_id_22794284.wav,ini tasnya
common_voice_id_22794285.wav,bima sakti besar
common_voice_id_22546521.wav,tiga
common_voice_id_22546522.wav,empat
common_voice_id_22546523.wav,tidak
common_voice_id_22546524.wav,delapan
common_voice_id_22546525.wav,tujuh
common_voice_id_22649678.wav,satu
common_voice_id_22649679.wav,tujuh
common_voice_id_22649680.wav,sembilan
common_voice_id_22649681.wav,dua
common_voice_id_22649682.wav,iya
common_voice_id_24018365.wav,saya marah
common_voice_id_23396833.wav,dari mana kamu
common_voice_id_25368143.wav,apa angka favoritmu
common_voice_id_25368163.wav,awas lantai licin
common_voice_id_20899277.wav,silakan berdiri
common_voice_id_24016327.wav,dia sedang salat
common_voice_id_23677609.wav,sayang benar
common_voice_id_24970106.wav,jangan terlambat
common_voice_id_19803170.wav,pegang tali itu
common_voice_id_24973146.wav,dua kata perbaris
common_voice_id_24973681.wav,sebenarnya ini mudah
common_voice_id_21883788.wav,kenapa tidak dicoba
common_voice_id_24015272.wav,jangan membuatku tertawa
common_voice_id_28808122.wav,silakan
common_voice_id_28808132.wav,pekerjaan saya mencuci
common_voice_id_35278310.wav,itu bukan masalahku
common_voice_id_35278315.wav,kuenya terlalu manis
common_voice_id_25296959.wav,tom mulai bernyanyi
common_voice_id_27461693.wav,pertanyaan bagus
common_voice_id_38362502.wav,aku berterima kasih
common_voice_id_31097624.wav,saya takut mati
common_voice_id_25178977.wav,dia sedang menangis
common_voice_id_24991247.wav,aku tidak paham
common_voice_id_24991281.wav,aku datang kemarin
common_voice_id_39623919.wav,tom terus berbicara
common_voice_id_19523004.wav,aku merasa lelah
common_voice_id_22417215.wav,tiga
common_voice_id_22417216.wav,sembilan
common_voice_id_22417217.wav,delapan
common_voice_id_22417218.wav,empat
common_voice_id_22417223.wav,lima
common_voice_id_22417224.wav,tujuh
common_voice_id_22417227.wav,satu
common_voice_id_22417228.wav,enam
common_voice_id_24023115.wav,maumu apa
common_voice_id_24023117.wav,dia sedang salat
common_voice_id_28161670.wav,begitulah hidup
common_voice_id_28161672.wav,dia takut kucing
common_voice_id_28161785.wav,novel ini membosankan
common_voice_id_27649642.wav,apa kalian lapar
common_voice_id_27649694.wav,terberkatilah dirimu
common_voice_id_24018439.wav,enak nggak makanannya
common_voice_id_28225646.wav,ombaknya tinggi
common_voice_id_23759856.wav,dadaku rasanya nyeri
common_voice_id_21753327.wav,saya minta maaf
common_voice_id_21753328.wav,dia meninggal kemarin
common_voice_id_20867342.wav,makasih
common_voice_id_20867346.wav,boleh kubawakan jasmu
common_voice_id_24015866.wav,sudah ya mbak
common_voice_id_35278782.wav,sepertinya pesawat terlambat
common_voice_id_19840802.wav,ada sehelai baju
common_voice_id_39652778.wav,mereka suka perempuan
common_voice_id_39652792.wav,berhenti mengikutiku
common_voice_id_20540356.wav,saya merasa buruk
common_voice_id_20540358.wav,apa pekerjaanmu
common_voice_id_22108129.wav,coba saya lihat
common_voice_id_22108130.wav,passport saya hilang
common_voice_id_22108155.wav,kamu harus tidur
common_voice_id_23820399.wav,apakah akan berguna
common_voice_id_23820400.wav,jangan pergi dulu
common_voice_id_23820413.wav,kamu mau apa
common_voice_id_23820415.wav,hidup seperti larry
common_voice_id_19934335.wav,maaf
common_voice_id_19934443.wav,ibunya mengkhawatirkan anaknya
common_voice_id_40707566.wav,seharusnya kamu menelpon
common_voice_id_19721829.wav,aku minum air
common_voice_id_19685319.wav,kita teman sekelas
common_voice_id_19685321.wav,majalah ini menarik
common_voice_id_19685340.wav,saya dari brazil
common_voice_id_19685341.wav,saya pemimpin regu
common_voice_id_19685342.wav,lakukan tapi sekarang
common_voice_id_22276816.wav,sembilan
common_voice_id_22276817.wav,dua
common_voice_id_22276819.wav,iya
common_voice_id_22276821.wav,lima
common_voice_id_22276823.wav,enam
common_voice_id_22277013.wav,empat
common_voice_id_22277015.wav,delapan
common_voice_id_22277016.wav,tiga
common_voice_id_22277018.wav,tidak
common_voice_id_22277020.wav,tujuh
common_voice_id_35278828.wav,kemarin saya belajar
common_voice_id_35278845.wav,seseorang mengetuk pintu
common_voice_id_35278952.wav,kembali ke rumah
common_voice_id_26449476.wav,saya di teheran
common_voice_id_26449505.wav,silakan dimakan
common_voice_id_26449530.wav,tolong nyalakan proyektor
common_voice_id_25609729.wav,bisa saya bantu
common_voice_id_27390107.wav,selamat
common_voice_id_27390109.wav,kita menyianyiakan minyak
common_voice_id_30077101.wav,ucapkan selamat tinggal
common_voice_id_28559130.wav,kurasa dia jujur
common_voice_id_28559154.wav,kurasa aku paham
common_voice_id_28559355.wav,lepaskan tom
common_voice_id_20857490.wav,jendela sudah ditutup
common_voice_id_20857497.wav,nama saya hashimoto
common_voice_id_23554747.wav,kamu di mana
common_voice_id_23554748.wav,pernah ke amerika
common_voice_id_23554808.wav,aku kelaparan
common_voice_id_27652165.wav,aku tidak bersalah
common_voice_id_27652233.wav,makanlah
common_voice_id_20260506.wav,kamu bodoh
common_voice_id_23404109.wav,kamu di mana
common_voice_id_23404312.wav,aku kelaparan
common_voice_id_25018467.wav,jepang dikelilingi laut
common_voice_id_22146299.wav,saya bukan idiot
common_voice_id_22146341.wav,siapa anak itu
common_voice_id_20248270.wav,tolong matikan ac
common_voice_id_20248272.wav,tidak ada bukti
common_voice_id_20406076.wav,ya suka
common_voice_id_20406077.wav,terimakasih sudah membantuku
common_voice_id_20406084.wav,saya sedikit tersentuh
common_voice_id_20406086.wav,mahal sekali
common_voice_id_24123355.wav,mau bicara apa
common_voice_id_35485157.wav,hobiku mengoleksi koin
common_voice_id_35485236.wav,hobiku mendengarkan musik
common_voice_id_35486165.wav,harganya terlalu mahal
common_voice_id_23406893.wav,aku kelaparan
