<<<<<<< HEAD:Dataset/filtered_data_wav.csv
path,sentence
common_voice_id_39599471.wav,dia tidak sepenuhnya mempercayaiku
common_voice_id_32165882.wav,aku juga tidak mengerti
common_voice_id_27657418.wav,berharap kau di sini
common_voice_id_23033570.wav,maha suci allah
common_voice_id_28537487.wav,tolong nyalakan lampu kamar
common_voice_id_36134676.wav,kucingku tersayang sudah seminggu hilang
common_voice_id_20425643.wav,inilah dunia kecil
common_voice_id_34438250.wav,kereta ini pergi ke tokyo
common_voice_id_22185104.wav,nol
common_voice_id_25649959.wav,dengarkan aku
common_voice_id_27769090.wav,rumahku sederhana tapi aku menyukainya
common_voice_id_24994697.wav,tugas saya belom kelar
common_voice_id_27389019.wav,ada seekor kucing
common_voice_id_40699655.wav,apakah anda memiliki asuransi jiwa
common_voice_id_39780834.wav,itulah yang dibicarakan oleh tom
common_voice_id_28269334.wav,saya makan separuh roti
common_voice_id_31406618.wav,sebelah matanya buta
common_voice_id_30820988.wav,tadi pagi saya ketemu bapakmu
common_voice_id_19424182.wav,itu tadi menarik ya
common_voice_id_36921601.wav,apakah saya boleh pinjam gunting
common_voice_id_37404583.wav,dia seorang yang mudah diajari
common_voice_id_39703948.wav,ayahku sudah baya
common_voice_id_32775898.wav,kapan novel barumu akan diterbitkan
common_voice_id_24142409.wav,aku ingin kamu
common_voice_id_35278976.wav,anda membutuhkannya
common_voice_id_38420123.wav,tom terus makan
common_voice_id_38746770.wav,tom menaiki tangga secara perlahan
common_voice_id_31392395.wav,aku dalam masalah ya
common_voice_id_30490454.wav,mungkin dia sedang sakit
common_voice_id_37896785.wav,apa yang membuatmu begitu sedih
common_voice_id_20953397.wav,selamat
common_voice_id_27237232.wav,apakah anda merasa bersalah
common_voice_id_37412665.wav,saya membersihkan kamar karena kotor
common_voice_id_35282811.wav,apakah kamu sudah makan siang
common_voice_id_35322705.wav,ini satusatunya harapan saya
common_voice_id_27391378.wav,tom tahu dia mendengar sesuatu
common_voice_id_27642028.wav,ini kapalku
common_voice_id_24034326.wav,kesimpulan ini sulit untuk dipungkiri
common_voice_id_24034328.wav,cek dana masuk
common_voice_id_27707135.wav,boleh minta api
common_voice_id_39917054.wav,aku berpikir untuk mengganti pemasokku
common_voice_id_39917058.wav,dia takut dengan istrinya
common_voice_id_27816925.wav,saya lahir di kota kecil
common_voice_id_27816928.wav,ini adalah manna dari surga
common_voice_id_24041300.wav,coba lakukan dengan cara berbeda
common_voice_id_31745422.wav,pekerjaan itu memerlukan banyak tenaga
common_voice_id_25255414.wav,dia suka mendengarkan musik
common_voice_id_23932392.wav,iya
common_voice_id_23932394.wav,sembilan
common_voice_id_30399553.wav,aku suka biru
common_voice_id_30399580.wav,buat apa ributribut
common_voice_id_28140524.wav,dia merawat anjing saya
common_voice_id_32120582.wav,saya makan daging tebal
common_voice_id_39871012.wav,kecelakaan itu mengakibatkan kemacetan
common_voice_id_39871022.wav,apakah kau melihat bukuku
common_voice_id_35280421.wav,makasih banyak
common_voice_id_37374904.wav,janganlah kau terus bermuram durja
common_voice_id_28513844.wav,apa ini milikmu
common_voice_id_22984696.wav,tom terlihat tidak tertarik
common_voice_id_22984697.wav,maha suci allah
common_voice_id_32091713.wav,kaki kiri mary lumpuh
common_voice_id_36116026.wav,kamu harus berhenti merokok
common_voice_id_22528019.wav,satu
common_voice_id_22528020.wav,tiga
common_voice_id_39798208.wav,apakah kamu sudah makan
common_voice_id_35366376.wav,ini alamat email saya
common_voice_id_25039783.wav,nama keluarga saya adalah wang
common_voice_id_33371234.wav,saya berjalan kaki sampai stasiun
common_voice_id_33371235.wav,tadi pagi saya ketemu bapakmu
common_voice_id_26277256.wav,dia mengingatkan pada kakekku
common_voice_id_26277261.wav,aku ingin mati
common_voice_id_34597896.wav,sepatu ini tua
common_voice_id_23920010.wav,dua
common_voice_id_23920012.wav,sembilan
common_voice_id_25211471.wav,pak tanaka minum cocacola
common_voice_id_35328735.wav,ini yang kulakukan untuk hidup
common_voice_id_25141757.wav,aku sakit
common_voice_id_25141759.wav,semangat untuk hari ini
common_voice_id_37048819.wav,mukanya tertutup oleh jelaga
common_voice_id_20483314.wav,apakah anda pernah makan serangga
common_voice_id_31097534.wav,merusak berarti membeli barang
common_voice_id_31097551.wav,aku rasa tidak
common_voice_id_26571419.wav,orang menebangi pohonpohon disamping jalan
common_voice_id_26571440.wav,saya bosan mendengar hal itu
common_voice_id_21277608.wav,itu kelinci yang jahat
common_voice_id_35281928.wav,tom berlari kembali ke hutan
common_voice_id_20211965.wav,apakah anda percaya pada tuhan
common_voice_id_25008331.wav,zlatan sedang menderita cidera siku
common_voice_id_25008332.wav,dia buruburu pulang dari inggris
common_voice_id_27960758.wav,kualitasnya bagus
common_voice_id_27960761.wav,anakanak meniru kebiasaan orang tuanya
common_voice_id_38070895.wav,sudah mulai turun hujan
common_voice_id_38070897.wav,aku sudah tidak tahan dengannya
common_voice_id_28290111.wav,darimana saya mendapatkan barang itu
common_voice_id_28290114.wav,kita harus tetap tenang
common_voice_id_28290115.wav,aku tidak tahu artinya kebencian
common_voice_id_24995760.wav,mau kopi atau teh
common_voice_id_24995761.wav,awas lantai licin
common_voice_id_24995762.wav,kurakura adalah reptil
common_voice_id_31482300.wav,dia lebih kuat darimu
common_voice_id_25337450.wav,tom melihat kepada mary
common_voice_id_26977788.wav,aku berterima kasih padamu
common_voice_id_28096568.wav,sebenarnya aku tidak mencintainya
common_voice_id_27858014.wav,negara anda di mana
common_voice_id_27858104.wav,semua jalan berakhir di roma
common_voice_id_28850151.wav,dia lari menyelamatkan diri
common_voice_id_28850177.wav,namanya dikenal oleh semua orang
common_voice_id_25527152.wav,jalanan sepi dari kendaraan
common_voice_id_25527156.wav,tom dan mary putus
common_voice_id_24015248.wav,tom memberi mary sekotak coklat
common_voice_id_24015249.wav,bocah itu bernama fadli
common_voice_id_24015250.wav,kompleks perumahan itu jauh sekali
common_voice_id_32790690.wav,eh ada kupukupu
common_voice_id_31249940.wav,kamu percaya pernyataan saksi itu
common_voice_id_31249954.wav,apakah kamu siswa dari jepang
common_voice_id_24983815.wav,kalau sakit dia lama sembuhnya
common_voice_id_31910959.wav,pak tanaka memakai dasi hijau
common_voice_id_24015630.wav,apakah kamu bisa lebih cepat
common_voice_id_24015631.wav,makin lama makin berguna
common_voice_id_24015632.wav,dia menendangku
common_voice_id_23564377.wav,pernah ke amerika
common_voice_id_23564378.wav,kamu tidak harus datang besok
common_voice_id_25359041.wav,mereka pulang lebih awal
common_voice_id_25359045.wav,dia punya dua kucing
common_voice_id_22888788.wav,saya setiap pagi pergi jalanjalan
common_voice_id_24016277.wav,tasku dicuri
common_voice_id_24016279.wav,aku akan menjemputnya malam ini
common_voice_id_26018175.wav,kita harus melakukannya sekarang
common_voice_id_24015258.wav,kamu tidak pulang
common_voice_id_24015259.wav,dunia akan melihat kita
common_voice_id_24015261.wav,beritahu dulu keburukannya
common_voice_id_19376536.wav,jangan tanya aku
common_voice_id_21272933.wav,saya menyukai tantangan
common_voice_id_21272937.wav,besok saya pergi ke paris
common_voice_id_37022569.wav,jangan biarkan apapun memperlambat jalanmu
common_voice_id_37022588.wav,dia hidup dengan bahagia
common_voice_id_21553538.wav,aku ingin mati
common_voice_id_19611908.wav,tuhan dan iblis itu mengagumkan
common_voice_id_24441322.wav,gubuk itu dibakar
common_voice_id_39667273.wav,satu hari itu sangat singkat
common_voice_id_24510887.wav,rumahku menghadap ke laut
common_voice_id_24510888.wav,jangan berbuat hal konyol
common_voice_id_24510889.wav,kapan agenda pertemuan ku selanjutnya
common_voice_id_19773606.wav,awas ada truk lewat
common_voice_id_19773607.wav,kiamat sudah dekat
common_voice_id_25527189.wav,ini kok nggak bisa ya
common_voice_id_26008524.wav,saya sangat tertarik dengan alamatnya
common_voice_id_26008525.wav,apa yang anda lakukan padanya
common_voice_id_24015698.wav,kamu tahu tidak
common_voice_id_24015700.wav,saya sedang makan nasi padang
common_voice_id_24015701.wav,lamalama dia kehilangan kesabaran
common_voice_id_24142793.wav,enak nggak makanannya
common_voice_id_25396146.wav,dia bercerai dari suaminya
